"","intercept","slope","continent","country_reorder"
"1",-104544.08870942,54.4579213650352,"Europe","Albania"
"2",-1037773.97539112,534.572312033569,"Europe","Austria"
"3",-898320.790411685,463.865394535667,"Europe","Belgium"
"4",-192269.933026537,98.8909886819585,"Europe","Bosnia and Herzegovina"
"5",-206756.908831176,107.674141956644,"Europe","Bulgaria"
"6",-331508.659667145,172.185083108392,"Europe","Croatia"
"7",-436852.415670845,227.720347082518,"Europe","Czech Republic"
"8",-887732.41272704,459.4110824021,"Europe","Denmark"
"9",-886323.530440753,456.578556760841,"Europe","Finland"
"10",-847598.506995872,437.702489175527,"Europe","France"
"11",-863036.194688101,446.371749997904,"Europe","Germany"
"12",-772269.088209423,397.190262713988,"Europe","Greece"
"13",-354472.485339969,184.5721955007,"Europe","Hungary"
"14",-997465.976523612,514.269966555247,"Europe","Iceland"
"15",-1141026.48011931,584.382463428675,"Europe","Ireland"
"16",-888466.776213596,457.040659368534,"Europe","Italy"
"17",-173054.270502361,91.0645794706294,"Europe","Montenegro"
"18",-950756.863610215,491.288565707695,"Europe","Netherlands"
"19",-1430486.92250508,736.162783055948,"Europe","Norway"
"20",-313015.216079996,162.380282895805,"Europe","Poland"
"21",-668146.593431938,343.268848375526,"Europe","Portugal"
"22",-192037.494751827,100.701017795105,"Europe","Romania"
"23",-163502.791235128,87.2987323461536,"Europe","Serbia"
"24",-353658.422519686,183.922178938462,"Europe","Slovak Republic"
"25",-656045.222615939,338.529833152449,"Europe","Slovenia"
"26",-857599.716331554,440.328134786716,"Europe","Spain"
"27",-819287.016733562,423.960668268534,"Europe","Sweden"
"28",-715956.603193233,375.362938923078,"Europe","Switzerland"
"29",-215742.402286098,111.246201397203,"Europe","Turkey"
"30",-777027.816861231,402.328006995107,"Europe","United Kingdom"
